Kinase Uniprot ID	Kinase Name	Kinase Group	Kinase Family	Mean Specificity Score	Mean Significance Score	Mean Final Score	Median Final score	Mean Kinase Statistic	Median Kinase Statistic	SD Kinase Statitistic	Mean peptide set size
P08631	HCK	TK	Src	2.0457562561174	0.732355242587966	2.77811149870537	3.5003129173816	0.519277712959329	0.539216073768913	0.0993937805593149	22.6666666666667
P07947	Yes	TK	Src	2.46335067864648	0.791068937064555	3.25441961571103	3.37263414340727	0.516563638903976	0.50158597630279	0.0743849603109471	25.8888888888889
P51451	BLK	TK	Src	2.52096333863291	0.869268793778302	3.39023213241121	3.32605800136591	0.61329112944264	0.621279933134332	0.189095501865839	21.5555555555556
H0Y8A4	RYK	TK	Ryk	1.72343331911595	1.32039929693202	3.04383261604798	3.08196966321512	0.843495643822885	0.776115711116409	0.21554571611574	4.85714285714286
P35916	FLT4	TK	VEGFR	1.76629535351955	1.01376424583244	2.78005959935199	2.88074411072206	-0.704579121599261	-0.733309539187814	0.0664846808802528	6.22222222222222
P21860	HER3	TK	EGFR	2.15975137199948	0.546166730803581	2.70591810280306	2.74472749489669	0.402199448900247	0.413239403241133	0.0763180841282141	43.8888888888889
P06239	Lck	TK	Src	2.08668722542417	0.652067498431867	2.73875472385604	2.68193666503724	0.459245667837195	0.458065307846433	0.0269112534542366	26.4444444444444
P06213	InSR	TK	InsR	1.59757853537749	0.747008216936661	2.34458675231415	2.47005659834133	0.482327030061083	0.519652733989485	0.0843832482597517	16.7777777777778
P08069	IGF1R	TK	InsR	1.63433365253639	0.815249822174883	2.44958347471127	2.46597389394387	0.565158333312755	0.567129760080075	0.0607591665403792	11.4444444444444
P42679	CTK	TK	Csk	1.69140575628433	0.562563495733012	2.25396925201735	2.33049716589566	0.406974233669821	0.399762779399685	0.0700911616828438	30
P09769	Fgr	TK	Src	1.32749303432865	0.907443672129567	2.23493670645822	2.08830984124614	0.554695827952054	0.542299992873889	0.0740639461623651	7.22222222222222
P43405	Syk	TK	Syk	1.49101297373304	0.354414864785707	1.84542783851874	1.83103135344523	0.279024292010522	0.272776701686383	0.019497226765445	70.7777777777778
P23458	JAK1~b	TK	JakA	0.874498813087772	0.672832795127717	1.54733160821549	1.78371354736798	-0.515679503909484	-0.583906533467247	0.136454059115526	4.5
P07948	Lyn	TK	Src	1.09188211328202	0.454944462609752	1.54682657589177	1.51365454633236	0.360665854345691	0.354492277622373	0.0269878837156458	22.3333333333333
P04626	HER2	TK	EGFR	1.01661748128205	0.460278661012709	1.47689614229476	1.47729500726525	0.325421980195794	0.312706691094607	0.109321559185895	30.6666666666667
Q15303	HER4	TK	EGFR	0.984046299075584	0.473526269906636	1.45757256898222	1.42241629571171	0.339017701679742	0.338819458964491	0.0785190020462119	27
Q13882	Brk	TK	Src	1.10488925964846	0.334714488038032	1.4396037476865	1.40671393297954	0.255672420601479	0.257060872392581	0.0141400559161079	67.3333333333333
P12931	Src	TK	Src	1.2558464176947	0.361289096845996	1.61713551454069	1.37230649761134	0.285920162381831	0.297028620663611	0.0713722298839877	41.8888888888889
P08922	Ros	TK	Sev	0.694648630553376	0.661543506395395	1.35619213694877	1.35619213694877	0.473023986743319	0.473023986743319	NA	3
P06241	Fyn	TK	Src	0.747700095602681	0.365192007299267	1.11289210290195	1.27520001570968	0.285597031278665	0.316451182618718	0.0568495249836327	22.5555555555556
P43403	ZAP70	TK	Syk	0.937129273255167	0.327836963796646	1.26496623705181	1.23448045690205	0.257157848518908	0.260395068153152	0.0140675482963539	60.2222222222222
Q05397	FAK1	TK	Fak	0.691320270829005	0.327057900905074	1.01837817173408	1.10594991332586	0.25299089203345	0.252037345675843	0.0288906277056719	40.6666666666667
P17948	FLT1	TK	VEGFR	0.692404004851857	0.418111158125107	1.11051516297696	1.08830984124614	-0.323462869275302	-0.333873764359351	0.0544201957821295	13.7777777777778
P00533	EGFR	TK	EGFR	0.754096532793513	0.339189007789733	1.09328554058325	1.06833876031552	0.254675796761871	0.263241801616179	0.0222925642809719	43.3333333333333
P16591	Fer	TK	Fer	0.423012299532009	0.345272169060817	0.768284468592827	0.97531734356965	-0.243193890989982	-0.388791557630081	0.246876020441633	6
P10721	Kit	TK	PDGFR	0.681335978252114	0.460510955475296	1.14184693372741	0.9298882172178	0.359366878985568	0.277287638060994	0.166112969898274	10.4285714285714
P00519	Abl	TK	Abl	0.730215968899031	0.318529529245283	1.04874549814431	0.924657460584368	0.247556866735983	0.233965330638464	0.069305384700703	46.1111111111111
Q01973	ROR1	TK	Ror	0.513002212434537	0.411260608728839	0.924262821163376	0.924262821163376	-0.400023227057337	-0.400023227057337	0	3
P42684	Arg	TK	Abl	0.762871677224533	0.290895949738928	1.05376762696346	0.818213559825808	0.233201974200664	0.218012779229983	0.0393227931369796	51.5555555555556
P07333	FmS/CSFR	TK	PDGFR	0.517970628348919	0.441337265382395	0.959307893731314	0.814629055128775	0.146895545049998	0.230278690047741	0.319228653404434	6.75
P14616	IRR	TK	InsR	0.452848943774589	0.410711229962175	0.863560173736764	0.71648167832422	0.326759608407551	0.282998994415285	0.0757956068050133	4.33333333333333
P29376	LTK	TK	Alk	0.423349679962286	0.274297562300789	0.697647242263075	0.681829162009023	0.220285813383308	0.215405999269784	0.0995539948744875	16.25
Q9UM73	ALK	TK	Alk	0.424441468216329	0.242935428123855	0.667376896340184	0.67010606749319	0.203424962085546	0.209584075232205	0.0199807358933533	44.7777777777778
O14757	CHK1	CAMK	CAMKL	0.323754886851917	0.320027159838956	0.643782046690873	0.646938202441164	0.278641727799435	0.278641727799435	0	3
